"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"배방읍028",1,,충청남도 아산시 배방읍세출리344-5,36.741749,127.072731,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍029",1,,충청남도 아산시 배방읍세출리352-6,36.741956,127.073132,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍030",1,,충청남도 아산시 배방읍세출리325-5,36.742168,127.0736764,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍031",1,,충청남도 아산시 배방읍세출리422-24,36.741749,127.074051,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍032",1,,충청남도 아산시 배방읍세출리319,36.741927,127.074485,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍033",1,,충청남도 아산시 배방읍세출리362-1,36.741749,127.073448,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍034",1,,충청남도 아산시 배방읍세출리207-8,36.740829,127.073677,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍035",1,,충청남도 아산시 배방읍세출리425,36.740994,127.073647,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍036",1,,충청남도 아산시 배방읍세출리207-5,36.740974,127.074013,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍037",1,,충청남도 아산시 배방읍세출리207-10,36.7408027,127.0743889,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍038",1,,충청남도 아산시 배방읍세출리413-63,36.741749,127.079186,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍039",1,,충청남도 아산시 배방읍세출리413-16,36.737057,127.081863,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍040",1,,충청남도 아산시 배방읍세출리211,36.740223,127.075348,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍041",1,,충청남도 아산시 배방읍세출리212-11,36.739853,127.075539,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍042",1,,충청남도 아산시 배방읍세출리213-4,36.739731,127.075256,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍043",1,,충청남도 아산시 배방읍세출리213-4,,127.075096,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍044",1,,충청남도 아산시 배방읍세출리212-19,36.741749,127.074638,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍045",1,,충청남도 아산시 배방읍세출리212-19,36.741749,127.074875,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍046",1,,충청남도 아산시 배방읍세출리422-32,36.741749,127.076126,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍047",1,,충청남도 아산시 배방읍세출리413-17,36.736462,127.081779,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍048",1,,충청남도 아산시 배방읍세출리232-7,36.741749,127.077416,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍049",1,,충청남도 아산시 배방읍세출리232-9,36.739433,127.077431,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍050",1,,충청남도 아산시 배방읍세출리244-1,36.739994,127.077911,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍051",1,,충청남도 아산시 배방읍세출리243-8,36.739662,127.078301,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍052",1,,충청남도 아산시 배방읍세출리413-53,,,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍053",1,,충청남도 아산시 배방읍세출리413-53,36.739124,127.079224,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍054",1,,충청남도 아산시 배방읍세출리413-71,36.738766,127.079109,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍055",1,,충청남도 아산시 배방읍세출리413-69,36.738346,127.078911,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍056",1,,충청남도 아산시 배방읍세출리413-74,36.738689,127.079422,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍057",1,,충청남도 아산시 배방읍세출리413-73,36.738228,127.079369,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍058",1,,충청남도 아산시 배방읍세출리413-53,36.738163,127.081352,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍059",1,,충청남도 아산시 배방읍세출리413-54,36.737808,127.082138,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍060",1,,충청남도 아산시 배방읍세출리413-33,36.738377,,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍061",1,,충청남도 아산시 배방읍세출리417,36.741749,127.0740607,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍062",1,,충청남도 아산시 배방읍세출리315,36.741749,127.075897,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍063",1,,충청남도 아산시 배방읍세출리417,36.741989,127.075699,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍064",1,,충청남도 아산시 배방읍세출리417,36.742569,127.075455,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍065",1,,충청남도 아산시 배방읍세출리317-5,36.742256,127.075127,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍066",1,,충청남도 아산시 배방읍세출리316-2,36.741688,127.075234,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍067",1,,충청남도 아산시 배방읍세출리328,36.743172,127.073845,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍068",1,,충청남도 아산시 배방읍세출리305-4,36.741749,127.074341,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍069",1,,충청남도 아산시 배방읍세출리305-2,36.743248,127.074493,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍070",1,,충청남도 아산시 배방읍세출리327,36.743473,127.074371,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍071",1,,충청남도 아산시 배방읍세출리301-3,36.743744,127.074425,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍072",1,,충청남도 아산시 배방읍세출리332-5,36.743938,127.074066,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍073",1,,충청남도 아산시 배방읍세출리339,36.744389,127.074211,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍074",1,,충청남도 아산시 배방읍세출리422-16,36.743835,127.073502,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍075",1,,충청남도 아산시 배방읍세출리422-8,36.744221,127.073433,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍076",1,,충청남도 아산시 배방읍세출리422-8,36.744736,127.073433,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍077",1,,충청남도 아산시 배방읍세출리422-3,36.745468,127.073502,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍078",1,,충청남도 아산시 배방읍회룡리310-2,36.747189,127.074745,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍079",1,,충청남도 아산시 배방읍회룡리305,36.747421,127.075493,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍080",1,,충청남도 아산시 배방읍세출리418,36.747978,127.082192,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍081",1,,충청남도 아산시 배방읍세출리105-2,36.741749,127.082726,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍082",1,,충청남도 아산시 배방읍회룡리312,36.747437,127.074646,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍083",1,,충청남도 아산시 배방읍회룡리311,36.747292,127.074219,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍084",1,,충청남도 아산시 배방읍회룡리312,36.741749,127.074066,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍085",1,,충청남도 아산시 배방읍회룡리318,36.741749,127.073738,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍086",1,,충청남도 아산시 배방읍회룡리323,36.747387,127.073471,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍087",1,,충청남도 아산시 배방읍회룡리328,36.747688,127.073593,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍088",1,,충청남도 아산시 배방읍회룡리319-3,36.746975,127.073845,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍089",1,,충청남도 아산시 배방읍회룡리333,36.747261,127.072472,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍090",1,,충청남도 아산시 배방읍회룡리324-1,36.748077,127.072502,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍091",1,,충청남도 아산시 배방읍회룡리23-6,36.748825,127.072601,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍092",1,,충청남도 아산시 배방읍회룡리35-3,,127.072411,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍093",1,,충청남도 아산시 배방읍회룡리37,36.74991716,127.072769,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍094",1,,충청남도 아산시 배방읍회룡리39-1,36.750305,127.072861,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍095",1,,충청남도 아산시 배방읍회룡리41-4,36.741749,127.073074,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍096",1,,충청남도 아산시 배방읍회룡리44-1,36.751007,127.073341,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍097",1,,충청남도 아산시 배방읍회룡리180-2,36.752754,127.073898,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍098",1,,충청남도 아산시 배방읍회룡리172-7,36.753136,,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍099",1,,충청남도 아산시 배방읍회룡리487-11,36.752659,127.074364,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍100",1,,충청남도 아산시 배방읍회룡리173,36.753132,,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍101",1,,충청남도 아산시 배방읍회룡리62,36.753078,127.073633,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍102",1,,충청남도 아산시 배방읍회룡리60-1,36.752872,127.073288,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍103",1,,충청남도 아산시 배방읍회룡리65-1,,127.072823,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍104",1,,충청남도 아산시 배방읍회룡리66-1,36.753437,127.072449,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍105",1,,충청남도 아산시 배방읍회룡리산 7-1,36.753811,,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍106",1,,충청남도 아산시 배방읍회룡리73-2,36.753407,127.070931,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍107",1,,충청남도 아산시 배방읍회룡리75-3,,127.070465,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍108",1,,충청남도 아산시 배방읍회룡리69-6,36.753971,127.071892,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍109",1,,충청남도 아산시 배방읍회룡리48-13,36.751537,127.069786,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍110",1,,충청남도 아산시 배방읍회룡리494,36.752651,127.072166,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍111",1,,충청남도 아산시 배방읍회룡리488,36.752975,127.076538,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍112",1,,충청남도 아산시 배방읍회룡리488-2,36.753124,,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍113",1,,충청남도 아산시 배방읍회룡리190-2,36.753635,127.075707,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍114",1,,충청남도 아산시 배방읍회룡리172-6,36.753494,127.074684,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍115",1,,충청남도 아산시 배방읍회룡리46-2,,127.073135,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍116",1,,충청남도 아산시 배방읍회룡리39-5,36.741749,127.072578,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍117",1,,충청남도 아산시 배방읍회룡리39-5,36.750168,127.072372,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍118",1,,충청남도 아산시 배방읍회룡리41-1,36.750629,127.0724915,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍119",1,,충청남도 아산시 배방읍회룡리32-6,36.749226,127.072128,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍120",1,,충청남도 아산시 배방읍회룡리487-24,36.749275,127.071404,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍121",1,,충청남도 아산시 배방읍회룡리501,36.748848,127.071434,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍122",1,,충청남도 아산시 배방읍회룡리343-2,36.748405,127.071106,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍123",1,,충청남도 아산시 배방읍회룡리345-2,36.747822,127.070465,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍124",1,,충청남도 아산시 배방읍회룡리503,36.741749,127.069901,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍125",1,,충청남도 아산시 배방읍회룡리358-1,36.747314,127.068649,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍126",1,,충청남도 아산시 배방읍회룡리14,36.748383,127.070549,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍127",1,,충청남도 아산시 배방읍회룡리10-1,36.748837,127.069046,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍128",1,,충청남도 아산시 배방읍회룡리13,36.748711,127.069534,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍129",1,,충청남도 아산시 배방읍회룡리335-6,36.746857,127.072525,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍130",1,,충청남도 아산시 배방읍회룡리383-1,36.741749,127.071587,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍131",1,,충청남도 아산시 배방읍회룡리379,36.746231,127.070129,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍132",1,,충청남도 아산시 배방읍회룡리399-1,36.743885,127.072899,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍133",1,,충청남도 아산시 배방읍회룡리399-1,36.744637,127.072708,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍134",1,,충청남도 아산시 배방읍회룡리386-3,36.745766,127.072853,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍135",1,,충청남도 아산시 배방읍회룡리322-3,36.746609,127.072647,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍136",1,,충청남도 아산시 배방읍회룡리406,36.744534,127.0721384,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍137",1,,충청남도 아산시 배방읍회룡리산 72-1,36.741749,127.071236,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍138",1,,충청남도 아산시 배방읍회룡리403-1,36.744034,127.071884,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍139",1,,충청남도 아산시 배방읍회룡리403-2,36.741749,127.0718976,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍140",1,,충청남도 아산시 배방읍회룡리402-2,36.743725,127.072624,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍141",1,,충청남도 아산시 배방읍회룡리169-3,36.754238,127.074837,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍142",1,,충청남도 아산시 배방읍회룡리168-3,36.741749,127.075188,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍143",1,,충청남도 아산시 배방읍회룡리163-2,36.754936,127.075691,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍144",1,,충청남도 아산시 배방읍회룡리164-9,36.755264,127.075783,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍145",1,,충청남도 아산시 배방읍회룡리151-1,36.755978,127.076126,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍146",1,,충청남도 아산시 배방읍회룡리152,36.741749,127.076424,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍147",1,,충청남도 아산시 배방읍북수리856,36.757374,127.0770669,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍148",1,,충청남도 아산시 배방읍북수리117-20,36.757946,127.076866,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍149",1,,충청남도 아산시 배방읍북수리103-2,36.758636,127.077087,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍150",1,,충청남도 아산시 배방읍북수리856,36.759148,127.0770669,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍151",1,,충청남도 아산시 배방읍북수리100-2,36.759533,127.077271,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍152",1,,충청남도 아산시 배방읍북수리856,36.759113,127.077431,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍153",1,,충청남도 아산시 배방읍북수리73-17,36.759884,127.077408,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍154",1,,충청남도 아산시 배방읍북수리73-1,36.760204,127.077538,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍155",1,,충청남도 아산시 배방읍북수리76-1,36.760357,127.077148,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍156",1,,충청남도 아산시 배방읍북수리93,36.760509,127.076653,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍157",1,,충청남도 아산시 배방읍북수리94,36.760239,127.076607,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍158",1,,충청남도 아산시 배방읍북수리86,36.760719,127.0765116,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍159",1,,충청남도 아산시 배방읍북수리85-2,36.760956,127.076714,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍160",1,,충청남도 아산시 배방읍북수리89-2,36.762169,127.074471,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍161",1,,충청남도 아산시 배방읍북수리89-1,36.761292,127.075295,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍162",1,,충청남도 아산시 배방읍북수리91-2,36.760838,127.0758724,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍163",1,,충청남도 아산시 배방읍북수리95,36.760288,127.076294,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍164",1,,충청남도 아산시 배방읍북수리97-1,36.741749,127.076637,,,041-540-2943,충청남도 아산시,2020-09-15
"배방읍165",1,,충청남도 아산시 배방읍북수리산 12-1,,127.076431,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍166",1,,충청남도 아산시 배방읍회룡리487,36.741749,127.075432,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍167",1,,충청남도 아산시 배방읍북수리859,36.757191,127.074822,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍168",1,,충청남도 아산시 배방읍북수리125,36.75819354,127.074554,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍169",1,,충청남도 아산시 배방읍북수리149-1,36.760872,,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍170",1,,충청남도 아산시 배방읍북수리869,36.762157,127.072136,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍171",1,,충청남도 아산시 배방읍북수리219-5,,127.071983,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍172",1,,충청남도 아산시 배방읍북수리219-3,36.741749,127.072548,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍173",1,,충청남도 아산시 배방읍북수리869,36.763939,127.071762,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍174",1,,충청남도 아산시 배방읍북수리157-6,36.763138,127.070847,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍175",1,,충청남도 아산시 배방읍북수리174,36.765556,127.070534,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍176",1,,충청남도 아산시 배방읍북수리202,36.766052,127.070847,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍177",1,,충청남도 아산시 배방읍북수리204-1,36.741749,127.071091,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍178",1,,충청남도 아산시 배방읍북수리230-5,36.766644,127.071526,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍179",1,,충청남도 아산시 배방읍북수리229-1,36.767277,127.071683,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍180",1,,충청남도 아산시 배방읍북수리233-5,36.767864,127.072739,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍181",1,,충청남도 아산시 배방읍북수리275,36.768215,127.072792,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍182",1,,충청남도 아산시 배방읍북수리841-25,36.767921,,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍183",1,,충청남도 아산시 배방읍북수리733-1,36.769081,127.068047,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍184",1,,충청남도 아산시 배방읍북수리731-1,36.769287,127.067665,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍185",1,,충청남도 아산시 배방읍북수리232-1,36.767529,127.070946,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍186",1,,충청남도 아산시 배방읍북수리233-6,36.741749,127.071053,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍187",1,,충청남도 아산시 배방읍북수리200,36.766666,127.070763,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍188",1,,충청남도 아산시 배방읍북수리197-1,36.766159,127.070679,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍189",1,,충청남도 아산시 배방읍북수리194-5,36.765213,127.069206,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍190",1,,충청남도 아산시 배방읍북수리198,36.766155,127.070175,,,041-540-2943,충청남도 아산시,2020-09-15
"배방읍191",1,,충청남도 아산시 배방읍북수리180-2,36.764961,127.068939,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍192",1,,충청남도 아산시 배방읍북수리182,36.741749,127.069054,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍193",1,,충청남도 아산시 배방읍북수리190,36.764763,127.068619,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍194",1,,충청남도 아산시 배방읍북수리739-12,36.766705,127.066534,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍195",1,,충청남도 아산시 배방읍북수리188-3,36.764305,127.068131,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍196",1,,충청남도 아산시 배방읍북수리774-1,36.763779,,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍198",1,,충청남도 아산시 배방읍북수리778-1,36.762676,127.067307,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍199",1,,충청남도 아산시 배방읍북수리791,36.762131,127.067101,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍200",1,,충청남도 아산시 배방읍북수리791,36.761761,,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍201",1,,충청남도 아산시 배방읍북수리800,36.761009,127.0663899,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍202",1,,충청남도 아산시 배방읍북수리800-1,36.760525,127.066429,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍203",1,,충청남도 아산시 배방읍북수리807,36.759644,,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍204",1,,충청남도 아산시 배방읍북수리808-2,36.759396,127.064896,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍205",1,,충청남도 아산시 배방읍북수리819,36.741749,127.064102,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍206",1,,충청남도 아산시 배방읍북수리810,36.759258,127.064102,,한전주,041-540-2943,충청남도 아산시,2020-09-15
